[20/01/2009 11:42:49] /t
[20/01/2009 11:43:31] /a 50
[20/01/2009 11:43:32] /a 50
[20/01/2009 11:43:33] /a 50
[20/01/2009 11:43:34] /a 50
[20/01/2009 11:43:53] /t
[20/01/2009 11:54:54] /a 5
[20/01/2009 11:54:54] /a 5
[20/01/2009 11:54:58] /t
[20/01/2009 11:55:30] /a 1
[20/01/2009 11:55:33] /a 1
[20/01/2009 11:55:34] /a 1
[20/01/2009 11:55:34] /a 1
[20/01/2009 11:55:34] /a 1
[20/01/2009 11:55:35] /a 1
[20/01/2009 11:55:35] /a 1
[20/01/2009 11:55:35] /a 1
[20/01/2009 11:55:36] /a 1
[20/01/2009 11:55:36] /a 1
[20/01/2009 11:55:36] /a 1
[20/01/2009 11:55:36] /a 1
[20/01/2009 11:55:37] /a 1
[20/01/2009 11:55:37] /a 1
[20/01/2009 11:55:40] /a 1
[20/01/2009 11:55:40] /a 1
[20/01/2009 11:55:41] /a 1
[20/01/2009 11:55:41] /a 1
[20/01/2009 11:55:41] /a 1
[20/01/2009 11:55:42] /a 1
[20/01/2009 11:55:42] /a 1
[20/01/2009 11:55:42] /a 1
[20/01/2009 11:55:42] /a 1
[20/01/2009 11:56:12] /t
[20/01/2009 12:04:28] /i 2000
[21/01/2009 12:32:38] /a 50
[21/01/2009 12:32:38] /a 50
[21/01/2009 12:32:38] /a 50
[21/01/2009 12:32:39] /a 50
[21/01/2009 12:32:40] /a 50
[21/01/2009 12:32:40] /a 50
[21/01/2009 12:32:40] /a 50
[21/01/2009 12:32:43] /a 1
[21/01/2009 12:32:44] /a 1
[21/01/2009 12:32:44] /a 1
[21/01/2009 12:32:44] /a 1
[21/01/2009 12:32:45] /a 1
[21/01/2009 12:32:45] /a 1
[21/01/2009 12:32:45] /a 1
[21/01/2009 12:32:46] /a 1
[21/01/2009 12:32:46] /a 1
[21/01/2009 12:32:47] /a 1
[21/01/2009 12:32:47] /a 1
[21/01/2009 12:32:47] /a 1
[21/01/2009 12:32:48] /a 1
[21/01/2009 12:32:48] /a 1
[21/01/2009 12:32:48] /a 50
[21/01/2009 12:32:58] /a 1
[21/01/2009 12:32:59] /a 1
[21/01/2009 12:32:59] /a 1
[21/01/2009 12:32:59] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
[21/01/2009 12:33:00] /a 1
