[01/07/2009 01:15:32] /t
[01/07/2009 01:16:47] /goto dragon lord
[01/07/2009 01:17:10] /down
[01/07/2009 01:17:11] /down
[01/07/2009 01:17:12] /down
[01/07/2009 01:17:16] /a 20
[01/07/2009 01:17:17] /a 20
[01/07/2009 01:17:18] /a 20
[01/07/2009 01:17:18] /a 20
[01/07/2009 01:17:19] /a 20
[01/07/2009 01:17:20] /a 20
[01/07/2009 01:17:22] /a 20
[01/07/2009 01:17:23] /a 20
[01/07/2009 01:17:24] /a 20
[01/07/2009 01:17:25] /a 20
[01/07/2009 01:17:27] /a 2
[01/07/2009 01:29:35] /town 4
[01/07/2009 01:29:37] /town 3
[01/07/2009 01:30:34] /a 50
[01/07/2009 01:30:35] /a 50
[01/07/2009 01:30:36] /a 50
[01/07/2009 01:30:43] /a 3
[01/07/2009 01:30:54] /a 2
[01/07/2009 01:31:03] /town 6
[01/07/2009 01:31:05] /town 5
[01/07/2009 01:31:09] /a 20
[01/07/2009 01:31:11] /a 20
[01/07/2009 01:31:12] /a 20
[01/07/2009 01:31:14] /a 20
[01/07/2009 01:31:16] /a 20
[01/07/2009 01:31:18] /a 20
[01/07/2009 01:31:19] /a 20
[01/07/2009 01:31:32] /a 2
[01/07/2009 01:31:34] /up
[01/07/2009 01:31:35] /a 2
[01/07/2009 01:31:56] /a 10
[01/07/2009 01:32:01] /down
[01/07/2009 01:32:02] /a 2
[01/07/2009 01:32:07] /a 20
[01/07/2009 01:32:09] /a 20
[01/07/2009 01:33:24] /i 8266
[01/07/2009 01:33:39] /a 2
[01/07/2009 01:33:40] /a 2
[01/07/2009 01:33:48] /up
