[05/07/2009 12:29:33] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:29:37] /a 1
[05/07/2009 12:31:09] /b <quando entrar mais 10 players vo faze um evento mais nao vai ser de matar bixo mais sim de achar itens>
[05/07/2009 12:32:02] /a 5
[05/07/2009 12:32:08] /a 20
[05/07/2009 12:32:12] /a 20
[05/07/2009 12:32:32] /a 
[05/07/2009 12:32:38] /a 5
[05/07/2009 12:33:42] /i Demon armor
[05/07/2009 12:33:55] /i Demon armor
[05/07/2009 12:33:56] /i Demon armor
[05/07/2009 12:33:57] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:33:59] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:00] /i Demon armor
[05/07/2009 12:34:01] /i Demon armor
[05/07/2009 12:34:01] /i Demon armor
[05/07/2009 12:34:01] /i Demon armor
[05/07/2009 12:34:01] /i Demon armor
[05/07/2009 12:34:01] /i Demon armor
[05/07/2009 12:34:02] /i Demon armor
[05/07/2009 12:34:02] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:03] /i Demon armor
[05/07/2009 12:34:04] /i Demon armor
[05/07/2009 12:34:04] /i Demon armor
[05/07/2009 12:34:04] /i Demon armor
[05/07/2009 12:34:04] /i Demon armor
[05/07/2009 12:34:49] /i Demon armor
[05/07/2009 12:34:49] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:34:51] /i Demon armor
[05/07/2009 12:35:00] /i Demon armor
[05/07/2009 12:35:09] /i Demon armor
[05/07/2009 12:35:14] /i Demon armor
[05/07/2009 12:35:19] /i Demon armor
[05/07/2009 12:35:23] /i Demon armor
[05/07/2009 12:35:28] /i Demon armor
[05/07/2009 12:35:32] /i Demon armor
[05/07/2009 12:35:37] /ghost
[05/07/2009 12:35:45] /i Demon armor
[05/07/2009 12:35:49] /i Demon armor
[05/07/2009 12:35:52] /i Demon armor
[05/07/2009 12:36:07] /i Demon armor
[05/07/2009 12:36:10] /i Demon armor
[05/07/2009 12:36:16] /i Demon armor
[05/07/2009 12:37:22] /i blessed helmet
[05/07/2009 12:37:31] /i blessed armor
[05/07/2009 12:38:30] /i Demon Legs
[05/07/2009 12:38:34] /i Demon Legs
